PCB_ID,Genus,species,Name,Organ,Bioprospector,State
6,,,,,,
5,,,,,,
4,,,,,,
3,,,blueberry,fruit,,
2,,,iris,leaves,,
1,Daucus,carota,wild carrot,inflorescence stem,Lucas Busta,NE
